,U2M,V250,TROPT,TROPPB,T2M,TQL,T500,TOX,U850,PS,V850,OMEGA500,H250,Q250,T2MDEW,PBLTOP,CLDPRS,V50M,Q500,DISPH,H1000,TO3,TS,T10M,TROPPT,TQI,SLP,U250,Q850,ZLCL,TQV,V2M,T250,TROPQ,V10M,H850,T850,U50M,U10M,QV2M,CLDTMP,TROPPV,H500,V500,T2MWET,U500,QV10M,LWGAB,SWLAND,PRECLSCORR,PRECCUCORR,PARDF,SWGDN,PRECSNOCORR,PARDR,generation_mw
2023-07-01 10:30:00+00:00,4.9024773,-26.687231,219.60501,20184.307,293.90372,0.15597534,262.2641,0.0065880027,9.823713,99602.81,-2.7567675,0.013394892,10628.107,8.354424e-05,285.4222,82392.1,70163.84,-1.8669484,0.0017337805,0.36468506,46.041832,306.8119,296.36417,292.9906,20184.717,0.0001980178,100540.22,36.607597,0.0071921027,1169.1726,18.691725,-1.047808,226.28404,3.6930007e-05,-1.4768027,1411.2146,279.70624,8.338383,6.910864,0.008955517,270.99496,18683.764,5674.272,-4.4172955,285.42584,19.25272,0.00853018,327.35342,626.0563,2.1340538e-06,0.0,71.58681,741.0635,0.0,245.6897,108.89213
2023-07-01 11:30:00+00:00,5.052398,-25.793062,220.11407,20857.86,294.612,0.11613464,262.30484,0.0065663573,10.248064,99606.086,-2.1595402,0.0064476132,10632.949,0.00010601628,285.36548,80806.61,81639.85,-1.4142361,0.0020685205,0.36462402,46.654987,305.80853,297.0081,293.72052,20856.535,0.0,100549.33,37.72887,0.0071499725,1283.8137,18.98428,-0.7833911,226.58153,3.9893723e-05,-1.106574,1414.6743,280.005,8.661389,7.1383395,0.008923091,278.5265,18042.74,5675.238,-4.0124645,285.3742,19.963518,0.008463423,329.61926,643.48315,9.4205666e-07,0.0,59.261787,756.3114,0.0,265.44672,108.036
2023-07-01 12:30:00+00:00,5.3027883,-23.68704,220.17621,20856.69,295.4458,0.10354614,262.35037,0.0065454002,10.692954,99604.19,-1.7335155,0.019456446,10637.617,0.00010882675,285.3372,79905.83,81327.42,-1.264602,0.0023736982,0.36462402,46.560215,304.84515,297.98886,294.4983,20856.072,0.0,100549.3,38.47446,0.0071396558,1407.2504,19.432974,-0.7023529,226.79903,3.449884e-05,-0.99354255,1417.4988,280.3773,9.132248,7.501891,0.008904021,278.19458,19001.262,5675.8984,-3.852078,285.33707,20.597788,0.0083928555,324.1974,722.288,7.662875e-07,0.0,55.923965,848.61365,0.0,307.4691,100.81847
2023-07-01 13:30:00+00:00,5.476259,-21.014845,220.38495,20855.695,295.82178,0.06175995,262.51633,0.006542688,11.127378,99611.11,-1.821583,0.03414905,10640.559,9.765756e-05,285.15735,78570.69,80480.19,-1.5099696,0.0026207007,0.364563,46.92566,304.71295,297.9306,294.97336,20856.03,0.0,100553.57,39.04981,0.0069705085,1507.0482,19.987127,-0.84951687,226.86722,3.1705757e-05,-1.2094086,1420.3075,280.88458,9.543842,7.7958174,0.008802941,277.91785,19254.434,5675.699,-4.0529547,285.16647,21.695122,0.008286054,327.94376,676.39404,2.6062116e-07,5.17504e-09,56.849495,798.65063,0.0,285.5628,91.38909
2023-07-01 14:30:00+00:00,5.557028,-18.937323,220.56924,20856.996,295.8673,0.056098938,262.7909,0.006550594,11.203159,99612.69,-2.1262984,0.023858398,10642.848,9.8463715e-05,284.8715,78844.805,80143.69,-1.9488089,0.0025510804,0.364563,47.049156,305.0878,297.58734,295.14178,20856.121,0.0,100554.91,39.39535,0.0068424223,1574.4761,20.13506,-1.0953519,226.73572,3.4227134e-05,-1.5687209,1421.5497,281.11093,9.796085,7.9600525,0.008637012,277.6404,18924.906,5675.714,-4.820526,284.87122,23.462326,0.0081315655,326.92798,619.0325,1.2677562e-07,1.1484429e-08,52.523354,738.5198,0.0,263.97583,104.76855
2023-07-01 15:30:00+00:00,5.47454,-16.873007,221.32582,21974.104,295.4593,0.04284668,263.24335,0.0065616653,11.118244,99627.664,-2.7052572,-0.016518652,10644.582,0.0001025036,284.45996,78838.875,80189.79,-2.5404186,0.0017130375,0.36450195,48.567356,305.60593,296.5879,294.94467,21975.926,0.0,100573.125,39.64851,0.00670157,1614.7197,19.599527,-1.4004658,226.55362,4.8235062e-05,-2.0225344,1422.8395,281.08127,9.8443985,7.9047375,0.008402402,277.5135,18278.746,5674.954,-5.46212,284.4609,25.014557,0.007934146,328.3753,501.43784,8.9141935e-08,9.0716625e-09,50.64701,608.0903,0.0,209.66772,102.7395
2023-07-01 16:30:00+00:00,5.249077,-14.926403,221.6993,22648.041,294.75317,0.032608032,263.5899,0.0065706554,10.8090515,99659.81,-3.3831189,-0.03223726,10644.389,0.00010155833,284.02585,79615.8,79978.71,-3.119354,0.000963688,0.36450195,51.113617,306.02295,295.36572,294.42114,22643.781,0.0,100603.77,40.359447,0.0065839607,1617.0929,18.583736,-1.6758546,226.40701,5.19486e-05,-2.4380887,1423.807,280.78638,9.648015,7.6348495,0.008156335,277.13788,19191.797,5673.215,-5.690897,284.0201,26.182682,0.007737669,324.2275,389.29678,5.796771e-08,1.3354129e-09,44.79695,483.10443,0.0,160.67377,70.972535
2023-07-01 17:30:00+00:00,4.774866,-13.642911,221.66434,22611.293,293.6607,0.028461456,263.82037,0.0065701385,10.306489,99706.08,-4.018063,-0.009311587,10643.422,0.000104942614,283.5609,80248.95,70955.336,-3.630114,0.0006361012,0.36444092,55.034492,305.99408,293.72,293.5594,22608.707,6.249547e-05,100651.25,41.108177,0.006463907,1596.1537,17.560247,-1.8784404,226.27423,4.476179e-05,-2.7589426,1424.995,280.29352,9.118612,7.0159664,0.00790647,270.0794,19252.182,5672.6494,-5.760123,283.56497,27.135956,0.0075574256,324.53015,252.60463,5.0396004e-08,6.7906947e-10,40.706272,322.46283,0.0,94.80995,33.355243
2023-07-01 18:30:00+00:00,3.9463181,-12.316197,221.15085,21768.541,292.2829,0.029884338,263.94644,0.0065609096,9.77691,99765.234,-4.407251,0.016692817,10642.303,0.00011185367,283.3022,81737.914,50699.723,-3.7566922,0.00028801174,0.36437988,60.432896,305.55173,291.8027,292.41235,21771.496,0.0009588003,100715.95,41.1033,0.0063403356,1481.1361,16.70869,-1.7847536,226.16435,3.5050754e-05,-2.6638985,1427.1456,279.7052,8.198047,5.892152,0.0077681933,254.82965,19250.002,5672.96,-6.339274,283.3157,26.909027,0.0074916277,329.53174,121.25647,1.1774984e-08,0.0,30.844795,159.15756,0.0,34.22914,11.552621
2023-07-01 19:30:00+00:00,2.9215338,-11.236368,220.60605,20811.123,290.63065,0.028728485,263.8592,0.006540321,9.346973,99831.414,-4.627283,0.03532207,10640.48,9.853245e-05,283.47003,86769.81,28794.781,-3.4352221,0.00017550761,0.36437988,66.16887,304.5978,289.78625,290.97513,20811.223,0.0030846596,100784.984,40.9418,0.0061690346,1347.7205,16.169624,-1.3403432,226.22104,2.5852763e-05,-2.0702791,1429.9178,279.19812,7.384034,4.5159082,0.007846412,238.63812,19217.33,5673.798,-6.7820854,283.4722,26.132526,0.007632791,337.70258,30.551315,1.2446789e-08,0.0,13.117598,39.852448,0.0,2.3316605,2.2403874
